Global_active_power,Month,Day
2.58,1,1
2.552,1,1
2.55,1,1
2.55,1,1
2.554,1,1
2.55,1,1
2.534,1,1
2.484,1,1
2.468,1,1
2.486,1,1
2.492,1,1
2.5,1,1
2.494,1,1
2.492,1,1
2.48,1,1
2.478,1,1
2.47,1,1
2.466,1,1
2.456,1,1
2.46,1,1
2.544,1,1
2.55,1,1
2.554,1,1
2.65,1,1
2.682,1,1
2.66,1,1
2.65,1,1
2.654,1,1
2.642,1,1
2.644,1,1
2.648,1,1
2.646,1,1
2.644,1,1
2.656,1,1
2.65,1,1
2.642,1,1
2.63,1,1
2.606,1,1
2.556,1,1
2.602,1,1
2.602,1,1
2.594,1,1
2.6,1,1
2.602,1,1
2.6,1,1
2.598,1,1
2.59,1,1
2.554,1,1
2.484,1,1
2.472,1,1
2.486,1,1
2.486,1,1
2.482,1,1
2.484,1,1
2.48,1,1
2.458,1,1
2.46,1,1
2.462,1,1
2.472,1,1
2.466,1,1
2.466,1,1
2.59,1,1
2.59,1,1
2.576,1,1
2.566,1,1
2.564,1,1
2.56,1,1
2.552,1,1
2.564,1,1
2.558,1,1
2.56,1,1
2.576,1,1
2.57,1,1
2.56,1,1
2.566,1,1
2.502,1,1
2.482,1,1
2.478,1,1
2.482,1,1
2.58,1,1
2.564,1,1
2.58,1,1
2.572,1,1
2.566,1,1
2.57,1,1
2.57,1,1
2.566,1,1
2.504,1,1
2.474,1,1
2.456,1,1
2.448,1,1
2.446,1,1
2.452,1,1
2.452,1,1
2.452,1,1
2.444,1,1
2.444,1,1
2.462,1,1
2.51,1,1
2.546,1,1
2.548,1,1
2.548,1,1
2.552,1,1
2.544,1,1
2.538,1,1
2.548,1,1
2.554,1,1
2.552,1,1
2.55,1,1
2.548,1,1
2.552,1,1
2.548,1,1
2.502,1,1
2.466,1,1
2.48,1,1
2.474,1,1
2.47,1,1
2.464,1,1
2.45,1,1
2.496,1,1
2.504,1,1
2.54,1,1
2.568,1,1
2.566,1,1
2.574,1,1
2.582,1,1
2.576,1,1
2.556,1,1
2.502,1,1
2.514,1,1
2.508,1,1
2.52,1,1
2.518,1,1
2.518,1,1
2.514,1,1
2.54,1,1
2.608,1,1
2.622,1,1
2.618,1,1
2.618,1,1
2.624,1,1
2.632,1,1
2.63,1,1
2.622,1,1
2.614,1,1
2.596,1,1
2.598,1,1
2.584,1,1
2.592,1,1
2.568,1,1
2.514,1,1
2.518,1,1
2.518,1,1
2.522,1,1
2.532,1,1
2.542,1,1
2.532,1,1
2.504,1,1
2.498,1,1
2.5,1,1
2.57,1,1
2.568,1,1
2.576,1,1
2.574,1,1
2.614,1,1
2.654,1,1
