Month,Day,Global_active_power
1,1,2749.004
1,2,1269.236
1,3,1014.054
1,4,3259.412
1,5,2713.364
1,6,1508.378
1,7,2447.62
1,8,2241.36
1,9,1869.054
1,10,2154.8
1,11,2255.194
1,12,1461.296
1,13,3186.814
1,14,3007.816
1,15,2148.678
1,16,1686.404
1,17,2847.688
1,18,1821.462
1,19,1480.44
1,20,3133.732
1,21,3407.262
1,22,2180.494
1,23,1777.64
1,24,2987.854
1,25,1596.344
1,26,1617.972
1,27,2044.072
1,28,3090.204
1,29,1982.664
1,30,1707.798
1,31,2363.752
2,1,1824.76
2,2,1667.736
2,3,4029.722
2,4,3595.94
2,5,1645.28
2,6,1273.48
2,7,2328.018
2,8,1801.414
2,9,1620.198
2,10,2829.328
2,11,3571.228
2,12,1877.61
2,13,1414.546
2,14,2498.672
2,15,1985.346
2,16,1702.528
2,17,2076.912
2,18,3829.762
2,19,2186.614
2,20,3149.928
2,21,2072.874
2,22,3369.478
2,23,1313.48
2,24,714.922
2,25,501.74
2,26,568.484
2,27,518.112
2,28,520.774
3,1,517.564
3,2,515.688
3,3,819.122
3,4,2090.7
3,5,2660.332
3,6,1246.5
3,7,2375.206
3,8,1572.132
3,9,1272.612
3,10,2484.712
3,11,3480.636
3,12,1950.668
3,13,1290.144
3,14,1793.364
3,15,1884.814
3,16,1702.054
3,17,2028.09
3,18,2371.046
3,19,2152.518
3,20,2086.228
3,21,2142.092
3,22,1454.978
3,23,1309.008
3,24,2968.43
3,25,3336.124
3,26,1416.082
3,27,1105.14
3,28,2333.898
3,29,1590.406
3,30,1402.394
3,31,3509.51
4,1,2785.9519999999998
4,2,1960.778
4,3,1642.82
4,4,2051.868
4,5,1844.078
4,6,1601.14
4,7,1553.924
4,8,1608.816
4,9,1000.92
4,10,777.364
4,11,887.482
4,12,537.706
4,13,551.022
4,14,554.268
4,15,726.164
4,16,952.39
4,17,1223.734
4,18,998.246
4,19,1028.658
4,20,822.58
4,21,1673.656
4,22,2233.714
4,23,1054.566
4,24,1032.1
4,25,1264.162
4,26,1275.466
4,27,1094.332
4,28,22.738
4,30,420.822
5,1,1663.858
5,2,1003.486
5,3,1090.238
5,4,998.128
5,5,1563.052
5,6,2102.104
5,7,1643.664
5,8,1789.292
5,9,1665.736
5,10,707.884
5,11,979.154
5,12,1441.566
5,13,1634.738
5,14,1467.782
5,15,904.392
5,16,1692.944
5,17,1231.816
5,18,1631.53
5,19,1429.442
5,20,1968.328
5,21,1120.062
5,22,1132.852
5,23,1464.936
5,24,1154.388
5,25,1614.22
5,26,1512.248
5,27,2153.808
5,28,1637.468
5,29,1061.34
5,30,1609.866
5,31,938.55
6,1,1044.918
6,2,1484.362
6,3,2108.026
6,4,911.618
6,5,1458.892
6,6,1693.638
6,7,985.002
6,8,2148.046
6,9,1059.814
6,10,1340.812
6,11,794.654
6,12,918.766
6,13,927.272
6,14,1259.084
6,15,989.604
6,16,2017.762
6,17,1947.09
6,18,678.474
6,19,842.36
6,20,1074.286
6,21,806.946
6,22,566.294
6,23,477.56600000000003
6,24,714.656
6,25,1072.202
6,26,944.908
6,27,1480.826
6,28,1295.438
6,29,1304.198
6,30,1335.314
