date,precipitation,temp_max,temp_min,wind,weather,tmax_tomorrow
01-01-2012,0,12.8,5,4.7,drizzle,10.6
02-01-2012,10.9,10.6,2.8,4.5,rain,11.7
03-01-2012,0.8,11.7,7.2,2.3,rain,12.2
04-01-2012,20.3,12.2,5.6,4.7,rain,8.9
05-01-2012,1.3,8.9,2.8,6.1,rain,4.4
06-01-2012,2.5,4.4,2.2,2.2,rain,7.2
07-01-2012,0,7.2,2.8,2.3,rain,10
08-01-2012,0,10,2.8,2,sun,9.4
09-01-2012,4.3,9.4,5,3.4,rain,6.1
10-01-2012,1,6.1,0.6,3.4,rain,6.1
11-01-2012,0,6.1,-1.1,5.1,sun,6.1
12-01-2012,0,6.1,-1.7,1.9,sun,5
13-01-2012,0,5,-2.8,1.3,sun,4.4
14-01-2012,4.1,4.4,0.6,5.3,snow,1.1
15-01-2012,5.3,1.1,-3.3,3.2,snow,1.7
16-01-2012,2.5,1.7,-2.8,5,snow,3.3
17-01-2012,8.1,3.3,0,5.6,snow,0
18-01-2012,19.8,0,-2.8,5,snow,-1.1
19-01-2012,15.2,-1.1,-2.8,1.6,snow,7.2
20-01-2012,13.5,7.2,-1.1,2.3,snow,8.3
21-01-2012,3,8.3,3.3,8.2,rain,6.7
22-01-2012,6.1,6.7,2.2,4.8,rain,8.3
23-01-2012,0,8.3,1.1,3.6,rain,10
24-01-2012,8.6,10,2.2,5.1,rain,8.9
25-01-2012,8.1,8.9,4.4,5.4,rain,8.9
26-01-2012,4.8,8.9,1.1,4.8,rain,6.7
27-01-2012,0,6.7,-2.2,1.4,drizzle,6.7
28-01-2012,0,6.7,0.6,2.2,rain,9.4
29-01-2012,27.7,9.4,3.9,4.5,rain,8.3
30-01-2012,3.6,8.3,6.1,5.1,rain,9.4
31-01-2012,1.8,9.4,6.1,3.9,rain,8.9
01-02-2012,13.5,8.9,3.3,2.7,rain,8.3
02-02-2012,0,8.3,1.7,2.6,sun,14.4
03-02-2012,0,14.4,2.2,5.3,sun,15.6
04-02-2012,0,15.6,5,4.3,sun,13.9
05-02-2012,0,13.9,1.7,2.9,sun,16.1
06-02-2012,0,16.1,1.7,5,sun,15.6
07-02-2012,0.3,15.6,7.8,5.3,rain,10
08-02-2012,2.8,10,5,2.7,rain,11.1
09-02-2012,2.5,11.1,7.8,2.4,rain,12.8
10-02-2012,2.5,12.8,6.7,3,rain,8.9
11-02-2012,0.8,8.9,5.6,3.4,rain,8.3
12-02-2012,1,8.3,5,1.3,rain,7.2
13-02-2012,11.4,7.2,4.4,1.4,rain,6.7
14-02-2012,2.5,6.7,1.1,3.1,rain,7.2
15-02-2012,0,7.2,0.6,1.8,drizzle,7.2
